0.7461,0.0339,1.0
0.505,0.7866,1.0
-0.8652,-0.5582,0.0
-0.054,0.6935,0.0
0.4936,1.0363,1.0
1.4658,2.4445,0.0
-0.1366,0.6931,0.0
-0.5273,2.2606,0.0
-0.2262,1.394,0.0
0.8353,-0.4801,0.0
1.0793,1.3794,0.0
1.2927,-0.7435,0.0
1.0261,-0.5728,0.0
0.0009,-0.9898,0.0
-0.0184,-0.7241,0.0
1.6845,0.1027,1.0
0.96,-0.4584,0.0
2.4177,-0.1559,0.0
-0.4015,-0.4075,0.0
0.9592,1.8591,0.0
1.1203,0.8224,1.0
-0.7356,0.9313,0.0
1.5642,-0.2046,0.0
1.58,1.6377,0.0
-0.0259,0.6334,0.0
0.9679,2.1309,0.0
-0.0808,2.2795,0.0
-0.8541,1.0482,0.0
1.8211,-0.893,0.0
0.8826,0.5222,1.0
0.8527,2.3035,0.0
-0.7544,1.5549,0.0
2.4591,-0.2833,0.0
-0.8455,2.3464,0.0
0.9868,1.2866,0.0
0.6178,-0.5572,0.0
2.2447,1.5471,0.0
-0.4847,2.2634,0.0
-0.8011,0.9076,0.0
2.1902,0.3755,0.0
1.9392,0.1944,0.0
0.9352,1.2693,0.0
0.7432,0.4561,1.0
-0.0049,-0.7052,0.0
2.235,1.2074,0.0
0.4878,1.8958,0.0
0.3361,0.5995,1.0
0.829,1.4174,0.0
1.3151,0.3638,1.0
-0.4133,0.7825,0.0
0.7338,-0.5792,0.0
0.5403,2.1609,0.0
1.1615,0.9949,0.0
1.0735,-0.2089,0.0
1.0819,2.0618,0.0
0.1493,0.2483,1.0
2.048,0.7745,0.0
-0.7118,-0.8317,0.0
1.1996,-0.6798,0.0
-0.8918,-0.7784,0.0
-0.7514,0.088,0.0
0.9619,0.6267,1.0
0.5507,0.0145,1.0
1.0546,2.2416,0.0
0.118,0.9464,1.0
0.7974,-0.05,0.0
2.1091,-0.2547,0.0
2.2323,-0.1123,0.0
-0.4561,-0.8495,0.0
